# linux/386, 2Gb ram, Atom 330 @ 1.8Ghz
# Ubuntu 12.04.1
benchmark                         old ns/op    new ns/op    delta
BenchmarkServer                                643302       490166  -23.80%
BenchmarkServerFakeConnNoKeepAlive             211422       100933  -52.26%
BenchmarkServerFakeConnWithKeepAlive           156647        86180  -44.98%
BenchmarkServerFakeConnWithKeepAliveLite       128873        51941  -59.70%
BenchmarkServerHandlerTypeLen                  123689        67377  -45.53%
BenchmarkServerHandlerNoLen                    126255        61527  -51.27%
BenchmarkServerHandlerNoType                   119313        64169  -46.22%
BenchmarkServerHandlerNoHeader                 126318        50975  -59.65%

benchmark                                    old MB/s     new MB/s  speedup
BenchmarkReadRequestChrome                       8.40        12.21    1.45x
BenchmarkReadRequestCurl                         2.18         3.15    1.44x
BenchmarkReadRequestApachebench                  2.24         3.32    1.48x
BenchmarkReadRequestSiege                        3.09         4.50    1.46x
BenchmarkReadRequestWrk                          1.52         2.51    1.65x
