# linux/amd64 Lenovo x220, 8Gb ram, Core i5 2.5Ghz
# Ubuntu 13.04 
benchmark                         old ns/op    new ns/op    delta
BenchmarkServerFakeConnNoKeepAlive              31312        15928  -49.13%
BenchmarkServerFakeConnWithKeepAlive            22880        13250  -42.09%
BenchmarkServerFakeConnWithKeepAliveLite        17690         8728  -50.66%
BenchmarkServerHandlerTypeLen                   17203        11291  -34.37%
BenchmarkServerHandlerNoLen                     17698        10267  -41.99%
BenchmarkServerHandlerNoType                    16593        10762  -35.14%
BenchmarkServerHandlerNoHeader                  17581         8363  -52.43%

benchmark                                    old MB/s     new MB/s  speedup
BenchmarkReadRequestChrome                      52.84        82.89    1.57x
BenchmarkReadRequestCurl                        14.56        20.00    1.37x
BenchmarkReadRequestApachebench                 14.96        21.10    1.41x
BenchmarkReadRequestSiege                       19.87        28.58    1.44x
BenchmarkReadRequestWrk                         10.80        15.33    1.42x

